iter	Passed	Remaining
0	3751	1872082
1	7441	1853053
2	11841	1961714
3	15577	1931603
4	19511	1931650
5	23483	1933490
6	27427	1931689
7	31016	1907516
8	35035	1911366
9	38647	1893749
10	42381	1884042
11	47028	1912510
12	51936	1945614
13	56416	1958446
14	60294	1949538
15	64566	1953134
16	68468	1945310
17	72766	1948531
18	76911	1947074
19	80887	1941304
20	85062	1940237
21	89183	1937718
22	93002	1928786
23	96743	1918747
24	100569	1910828
25	104391	1903132
26	108529	1901272
27	112544	1897171
28	117228	1903960
29	121700	1906636
30	126615	1915577
31	130644	1910670
32	134548	1904065
33	138488	1898107
34	142580	1894285
35	146287	1885480
36	150804	1887095
37	155409	1889448
38	159317	1883215
39	164135	1887553
40	169184	1894038
41	174539	1903307
42	179019	1902607
43	182874	1895244
44	186884	1889614
45	192128	1896227
46	196741	1896250
47	201456	1897048
48	205502	1891461
49	209574	1886173
50	213772	1882038
51	218403	1881633
52	222786	1878971
53	227391	1878086
54	231471	1872814
55	235712	1868864
56	239986	1865154
57	243960	1859150
58	248148	1854808
59	252273	1850004
60	256206	1843846
61	260237	1838452
62	264382	1833894
63	268713	1830612
64	272803	1825685
65	276472	1818018
66	280218	1810964
67	284107	1804918
68	287967	1798756
69	291707	1791920
70	295681	1786582
71	299520	1780480
72	303259	1773861
73	307081	1767791
74	311119	1763012
75	314993	1757332
76	318997	1752413
77	323644	1751000
78	327943	1747648
79	332061	1743320
80	336336	1739817
81	340604	1736252
82	344644	1731529
83	348866	1727719
84	353139	1724153
85	356900	1718100
86	360956	1713505
87	364821	1708026
88	368584	1702116
89	372841	1698499
90	377122	1694980
91	381162	1690370
92	385000	1684895
93	388881	1679636
94	392603	1673729
95	396290	1667724
96	400254	1662913
97	404689	1660054
98	409209	1657504
99	413680	1654722
100	418516	1653345
101	423961	1654280
102	428238	1650587
103	432105	1645324
104	435920	1639891
105	440978	1639110
106	445998	1638104
107	450599	1635507
108	455094	1632494
109	459595	1629473
110	464171	1626690
111	468422	1622750
112	472860	1619442
113	477221	1615856
114	480665	1609183
115	485217	1606237
116	489063	1600951
117	493140	1596438
118	497128	1591646
119	501961	1589546
120	506168	1585436
121	510718	1582388
122	514753	1577741
123	518832	1573233
124	523446	1570339
125	528814	1569654
126	533699	1567481
127	537858	1563152
128	542133	1559160
129	546787	1556241
130	551186	1552578
131	555308	1548131
132	559512	1543918
133	563971	1540400
134	568609	1537351
135	572916	1533394
136	576791	1528286
137	580992	1524053
138	585144	1519691
139	589197	1515078
140	594043	1512494
141	599293	1510894
142	605004	1510394
143	609496	1506809
144	614089	1503461
145	619224	1501408
146	623943	1498313
147	628105	1493871
148	632344	1489616
149	636348	1484812
150	640437	1480215
151	644363	1475254
152	648643	1471107
153	653956	1469278
154	658728	1466203
155	663099	1462219
156	668089	1459583
157	672868	1456462
158	677406	1452803
159	681721	1448659
160	685926	1444279
161	690318	1440294
162	694579	1436033
163	698969	1432034
164	703161	1427630
165	707529	1423582
166	711832	1419402
167	716090	1415131
168	720613	1411379
169	726196	1409676
170	730831	1406103
171	735816	1403185
172	740453	1399586
173	745295	1396357
174	749406	1391755
175	753769	1387620
176	758294	1383781
177	762613	1379559
178	766768	1375042
179	770880	1370453
180	774726	1365402
181	778600	1360411
182	782561	1355583
183	786563	1350836
184	790943	1346742
185	795630	1343161
186	799913	1338892
187	804026	1334341
188	808224	1329935
189	812881	1326281
190	817549	1322633
191	822096	1318779
192	827230	1315854
193	831551	1311622
194	836582	1308500
195	841723	1305530
196	846261	1301609
197	850635	1297433
198	854908	1293102
199	859585	1289377
200	863943	1285169
201	868075	1280626
202	872392	1276356
203	877184	1272778
204	881203	1268073
205	885476	1263737
206	890154	1259976
207	894074	1255143
208	898164	1250553
209	901950	1245551
210	906385	1241447
211	910418	1236795
212	915692	1233820
213	920226	1229835
214	925172	1226391
215	929511	1222135
216	934135	1218249
217	938591	1214141
218	943501	1210610
219	948219	1206824
220	952770	1202819
221	957065	1198487
222	961948	1194886
223	966231	1190535
224	970771	1186498
225	975465	1182643
226	980005	1178596
227	984835	1174890
228	989579	1171074
229	994568	1167537
230	999745	1164205
231	1004857	1160783
232	1009513	1156824
233	1015296	1154141
234	1020101	1150326
235	1025960	1147685
236	1030495	1143545
237	1035443	1139857
238	1041507	1137378
239	1047541	1134836
240	1054720	1133495
241	1061604	1131793
242	1067176	1128660
243	1072598	1125349
244	1078208	1122216
245	1083701	1118944
246	1089068	1115523
247	1094491	1112144
248	1099736	1108569
249	1105280	1105280
250	1110762	1101912
251	1116104	1098388
252	1121434	1094839
253	1125925	1090462
254	1131106	1086749
255	1136241	1082979
256	1141699	1079505
257	1147019	1075886
258	1151756	1071711
259	1156462	1067503
260	1161316	1063427
261	1166315	1059477
262	1171104	1055330
263	1176046	1051314
264	1180765	1047094
265	1185206	1042625
266	1189729	1038228
267	1194141	1033734
268	1198932	1029566
269	1203571	1025264
270	1208344	1021073
271	1214359	1017918
272	1220174	1014577
273	1225604	1010900
274	1230557	1006819
275	1235138	1002431
276	1239324	997723
277	1243823	993269
278	1248210	988726
279	1252618	984200
280	1256689	979412
281	1260797	974659
282	1264845	969864
283	1269283	965370
284	1273371	960613
285	1277435	955843
286	1282067	951499
287	1286501	947007
288	1291218	942723
289	1295963	938456
290	1301067	934443
291	1306064	930347
292	1310708	925995
293	1315172	921515
294	1319863	917192
295	1324216	912635
296	1328558	908071
297	1333491	903910
298	1337767	899302
299	1341993	894662
300	1346253	890048
301	1350511	885434
302	1355013	880982
303	1360107	876911
304	1365320	872909
305	1370281	868740
306	1375080	864464
307	1380063	860299
308	1385938	856680
309	1391987	853153
310	1396967	848960
311	1401785	844665
312	1406718	840435
313	1411322	836006
314	1415882	831549
315	1420715	827251
316	1425161	822727
317	1429434	818104
318	1433772	813519
319	1438246	809013
320	1442542	804408
321	1446756	799759
322	1451048	795156
323	1455124	790438
324	1459470	785868
325	1463850	781318
326	1468326	776821
327	1472866	772356
328	1477314	767844
329	1481540	763217
330	1485592	758504
331	1489734	753841
332	1493885	749186
333	1497975	744502
334	1502448	740012
335	1507092	735604
336	1512054	731349
337	1516358	726775
338	1520613	722179
339	1525407	717839
340	1529380	713112
341	1533974	708678
342	1538966	704424
343	1543975	700175
344	1548794	695835
345	1553150	691286
346	1557306	686650
347	1561775	682154
348	1566207	677642
349	1570602	673115
350	1575301	668717
351	1579804	664236
352	1584803	659960
353	1590620	656018
354	1595527	651694
355	1600509	647397
356	1605330	643031
357	1610255	638704
358	1614447	634086
359	1619103	629651
360	1624057	625329
361	1628626	620857
362	1633557	616521
363	1638319	612119
364	1643859	608002
365	1648808	603662
366	1653231	599127
367	1658002	594718
368	1662306	590141
369	1667424	585851
370	1672596	581576
371	1677399	577169
372	1681857	572643
373	1686778	568272
374	1692595	564198
375	1697895	559944
376	1702678	555515
377	1707060	550956
378	1711796	546510
379	1716774	542139
380	1722089	537870
381	1727110	533505
382	1731853	529051
383	1736609	524600
384	1741244	520112
385	1745970	515649
386	1750897	511243
387	1755827	506836
388	1760303	502297
389	1764919	497797
390	1769594	493313
391	1774473	488885
392	1779377	484461
393	1783610	479854
394	1788535	475433
395	1792775	470829
396	1796937	466208
397	1801320	461644
398	1805369	456998
399	1810137	452534
400	1815695	448264
401	1820063	443697
402	1824544	439158
403	1828885	434586
404	1833352	430045
405	1837879	425519
406	1843109	421152
407	1847046	416490
408	1851778	412009
409	1856751	407579
410	1861636	403128
411	1865761	398512
412	1870138	393951
413	1875612	389619
414	1880160	385093
415	1884679	380560
416	1888808	375949
417	1893170	371387
418	1897578	366834
419	1901907	362268
420	1906143	357684
421	1910357	353099
422	1914660	348531
423	1919118	343992
424	1924100	339547
425	1928241	334952
426	1932672	330410
427	1937142	325874
428	1941805	321371
429	1946584	316885
430	1950991	312339
431	1955321	307782
432	1959738	303238
433	1964371	298729
434	1969377	294274
435	1974368	289815
436	1979120	285319
437	1983452	280762
438	1988549	276313
