iter	WKappa	MultiClass
0	0.4337050482	-1.364456154
1	0.4578010419	-1.34518301
2	0.4601517865	-1.328296395
3	0.462363472	-1.311917791
4	0.4654655119	-1.29583553
5	0.4684066832	-1.281429692
6	0.4697901064	-1.268232641
7	0.4696168376	-1.256319757
8	0.4710103207	-1.244995377
9	0.4721459767	-1.233392987
10	0.4709917318	-1.222987559
11	0.4692406194	-1.213209244
12	0.4706081382	-1.204387099
13	0.4713902051	-1.196254972
14	0.4724660775	-1.187750534
15	0.4717105824	-1.180455476
16	0.4733790667	-1.173317296
17	0.4726466679	-1.167346762
18	0.473023994	-1.160821447
19	0.4723172213	-1.154776258
20	0.4713477902	-1.149013657
21	0.4719738377	-1.143324118
22	0.4723207956	-1.138177372
23	0.4720981751	-1.134084388
24	0.4691354671	-1.129969513
25	0.4664083511	-1.126313439
26	0.4662365569	-1.122670828
27	0.4661257035	-1.118155074
28	0.4658105444	-1.113861908
29	0.4675288172	-1.110196687
30	0.4680488568	-1.106802626
31	0.4678670368	-1.103303496
32	0.4682509958	-1.099793145
33	0.4712142643	-1.096582879
34	0.468344073	-1.093547137
35	0.4699817038	-1.09084571
36	0.4721122907	-1.088202807
37	0.4717926409	-1.086179763
38	0.4706711908	-1.083561384
39	0.4735948944	-1.080725297
40	0.4745049131	-1.078617441
41	0.4721611994	-1.076570649
42	0.4733523424	-1.074532871
43	0.4728020286	-1.072247622
44	0.4736120048	-1.069936744
45	0.4738241465	-1.068239895
46	0.4743506714	-1.066354952
47	0.4743878574	-1.064490522
48	0.4763480576	-1.062739794
49	0.4764809787	-1.061674176
50	0.4769105792	-1.060100932
51	0.4772075351	-1.058744775
52	0.4771113859	-1.057218802
53	0.4789937615	-1.056043357
54	0.4796633291	-1.054634025
55	0.4828811576	-1.052849148
56	0.484640049	-1.051314623
57	0.4849779058	-1.05042131
58	0.4872870881	-1.049015584
59	0.4881163739	-1.048000187
60	0.4886528098	-1.046781689
61	0.4885149785	-1.045670983
62	0.4880723521	-1.044758199
63	0.488154829	-1.043513174
64	0.4883894528	-1.042610443
65	0.4888100513	-1.041643156
66	0.4890006894	-1.040921958
67	0.4902643642	-1.039906237
68	0.4891171501	-1.038985734
69	0.4891165957	-1.038280793
70	0.4883113065	-1.037814626
71	0.48836784	-1.037110833
72	0.48834711	-1.036192989
73	0.4884310872	-1.035521851
74	0.4884939395	-1.034497335
75	0.4892380636	-1.033880815
76	0.4905136032	-1.033244654
77	0.4912522383	-1.032596519
78	0.4923537919	-1.03195368
79	0.4918385608	-1.031254756
80	0.4926091031	-1.03053306
81	0.491888344	-1.029930578
82	0.4930229655	-1.029211962
83	0.4925307765	-1.028694942
84	0.4936447907	-1.028274501
85	0.4938518421	-1.027644073
86	0.4932269025	-1.027063743
87	0.4937424376	-1.026597092
88	0.494576338	-1.025768205
89	0.494556096	-1.025201706
90	0.4950755141	-1.024713972
91	0.4950603948	-1.0241291
92	0.4940046861	-1.023492021
93	0.4945369843	-1.02305875
94	0.4948612179	-1.022426478
95	0.4955160685	-1.021752619
96	0.4958947946	-1.021358857
97	0.4952733883	-1.020624605
98	0.4961200336	-1.019940069
