iter	Passed	Remaining
0	1009	503627
1	2032	506002
2	2996	496449
3	4003	496486
4	4965	491615
5	5933	488500
6	6884	484862
7	7848	482653
8	8796	479922
9	9726	476620
10	10688	475169
11	11605	471944
12	12553	470275
13	13573	471198
14	14571	471133
15	15780	477347
16	17103	485949
17	18061	483637
18	18994	480870
19	19993	479849
20	21050	480162
21	22032	478714
22	23017	477354
23	24196	479895
24	25335	481378
25	26403	481363
26	27357	479264
27	28463	479805
28	29543	479825
29	30541	478477
30	31500	476569
31	32467	474834
32	33426	473039
33	34332	470562
34	35287	468818
35	36232	466994
36	37183	465293
37	38264	465213
38	39236	463799
39	40375	464320
40	41389	463357
41	42419	462572
42	43488	462186
43	44586	462080
44	45605	461117
45	46846	462353
46	48160	464181
47	49298	464223
48	50305	463016
49	51429	462868
50	52532	462490
51	53681	462489
52	54877	462838
53	56217	464315
54	57399	464412
55	58610	464695
56	59717	464121
57	60954	464519
58	62028	463636
59	63148	463092
60	64157	461726
61	65150	460256
62	66263	459638
63	67289	458407
64	68331	457298
65	69351	456040
66	70352	454667
67	71375	453443
68	72351	451934
69	73366	450678
70	73542	444363
71	74525	443011
72	75537	441841
73	76552	440691
74	77753	440605
75	78929	440341
76	79922	439054
77	80918	437790
78	81937	436653
79	82955	435516
80	83939	434206
81	84974	433164
82	85976	431951
83	86990	430808
84	87971	429508
85	88981	428353
86	89978	427140
87	91012	426102
88	92066	425162
89	93099	424117
90	94087	422878
91	95127	421867
92	96122	420667
93	97100	419392
94	98157	418461
95	99145	417239
96	100261	416549
97	101289	415494
98	102289	414324
99	103312	413250
100	104485	412770
101	105658	412275
102	106722	411348
103	107714	410142
104	108731	409038
105	109742	407912
106	110756	406795
107	111768	405676
108	112829	404736
109	113987	404136
110	115104	403382
111	116295	402881
112	117607	402779
113	118860	402458
114	119987	401697
115	121253	401391
116	122371	400584
117	123663	400333
118	124931	399991
119	126214	399678
120	127226	398502
121	128344	397657
122	129347	396456
123	130351	395260
124	131384	394153
125	132405	393012
126	133415	391841
127	134429	390686
128	135476	389625
129	136506	388517
130	137608	387613
131	138633	386492
132	139830	385848
133	140939	384955
134	141936	383754
135	143071	382927
136	144553	383014
137	145614	381975
138	146664	380906
139	147704	379810
140	148707	378624
141	149718	377459
142	150946	376839
143	152128	376094
144	153220	375125
145	154492	374591
146	155708	373911
147	156770	372858
148	157816	371768
149	158844	370637
150	159911	369597
151	160942	368473
152	161924	367239
153	162979	366175
154	163973	364973
155	165250	364399
156	166597	363966
157	167723	363046
158	168744	361898
159	169751	360721
160	170881	359805
161	171892	358640
162	172906	357482
163	173947	356379
164	174996	355295
165	176015	354151
166	177040	353021
167	178395	352543
168	179509	351584
169	180549	350478
170	181549	349296
171	182656	348320
172	183651	347133
173	184645	345944
174	185670	344816
175	186693	343685
176	187729	342579
177	188822	341577
178	189851	340460
179	190847	339284
180	191846	338115
181	192813	336894
182	193897	335877
183	194903	334725
184	195982	333699
185	196994	332560
186	198014	331436
187	198989	330238
188	200041	329168
189	201025	327989
190	202066	326903
191	203080	325774
192	204135	324712
193	205127	323551
194	206158	322452
195	207159	321308
196	208169	320178
197	209193	319073
198	210210	317956
199	211273	316909
200	212313	315829
201	213345	314737
202	214370	313635
203	215495	312679
204	216479	311519
205	217508	310424
206	218641	309478
207	219685	308404
208	220673	307253
209	221699	306156
210	222717	305048
211	223735	303942
212	224752	302835
213	225752	301706
214	226820	300668
215	227826	299549
216	228850	298454
217	229873	297358
218	230885	296249
219	231888	295130
220	232879	293997
221	233897	292898
222	234997	291902
223	236223	291060
224	237414	290173
225	238458	289104
226	239457	287981
227	240456	286860
228	241451	285734
229	242478	284648
230	243495	283550
231	244517	282460
232	245490	281312
233	246533	280247
234	247829	279467
235	248953	278490
236	249980	277405
237	251118	276441
238	252125	275334
239	253142	274237
240	254230	273218
241	255417	272304
242	256452	271227
243	257505	270169
244	258791	269354
245	259891	268343
246	260989	267329
247	262025	266251
248	263156	265270
249	264128	264128
250	265161	263048
251	266326	262099
252	267565	261220
253	268907	260437
254	270239	259641
255	271259	258543
256	272255	257424
257	273285	256337
258	274376	255307
259	275404	254219
260	276443	253141
261	277758	252314
262	278796	251235
263	279811	250134
264	280821	249030
265	281845	247939
266	282897	246873
267	283946	245804
268	285016	244753
269	285990	243621
270	287000	242520
271	287999	241411
272	288989	240295
273	289996	239194
274	291031	238117
275	292046	237023
276	293040	235913
277	294140	234889
278	295169	233808
279	296367	232859
280	297448	231819
281	298471	230733
282	299498	229650
283	300514	228560
284	301684	227586
285	302902	226647
286	303995	225613
287	304986	224504
288	306051	223449
289	307101	222383
290	308229	221374
291	309208	220258
292	310201	219152
293	311191	218045
294	312389	217084
295	313637	216155
296	314866	215211
297	315902	214135
298	316901	213034
299	317893	211929
300	318906	210838
301	320149	209899
302	321141	208794
303	322269	207778
304	323364	206740
305	324426	205681
306	325626	204710
307	326810	203725
308	328026	202760
309	329328	201846
310	330525	200866
311	331518	199761
312	332543	198676
313	333531	197569
314	334562	196488
315	335591	195407
316	336585	194306
317	337603	193219
318	338657	192153
319	339707	191085
320	340699	189985
321	341711	188896
322	342735	187815
323	343703	186703
324	344745	185632
325	345713	184521
326	346714	183429
327	347765	182364
328	348877	181331
329	349851	180226
330	350833	179126
331	351842	178040
332	352834	176947
333	353825	175853
334	354842	174773
335	355836	173681
336	356915	172632
337	357911	171543
338	358904	170453
339	359890	169360
340	360912	168284
341	361930	167207
342	362959	166135
343	363963	165053
344	364924	163951
345	365922	162867
346	366914	161780
347	367916	160699
348	368885	159603
349	369922	158538
350	370905	157449
351	371908	156370
352	372877	155277
353	373914	154213
354	374926	153138
355	375988	152085
356	377056	151033
357	378053	149954
358	379113	148899
359	380119	147824
360	381112	146744
361	382186	145695
362	383197	144622
363	384180	143539
364	385287	142503
365	386288	141428
366	387305	140358
367	388275	139272
368	389258	138192
369	390333	137144
370	391324	136067
371	392321	134992
372	393434	133957
373	394437	132885
374	395422	131807
375	396474	130752
376	397467	129677
377	398451	128600
378	399459	127531
379	400471	126464
380	401513	125407
381	402501	124332
382	403500	123262
383	404460	122180
384	405441	121105
385	406422	120031
386	407417	118961
387	408427	117896
388	409399	116820
389	410378	115747
390	411364	114677
391	412355	113608
392	413354	112541
393	414360	111477
394	415457	110438
395	416579	109404
396	417647	108356
397	418655	107293
398	419935	106299
399	421080	105270
400	422070	104201
401	423060	103134
402	424056	102068
403	425082	101009
404	426076	99943
405	427108	98887
406	428271	97860
407	429263	96794
408	430457	95774
409	431657	94754
410	432758	93711
411	433918	92681
412	434980	91630
413	436003	90570
414	436993	89504
415	438032	88448
416	439196	87418
417	440234	86361
418	441229	85297
419	442358	84258
420	443613	83243
421	444895	82231
422	446165	81216
423	447300	80176
424	448329	79116
425	449321	78051
426	450344	76990
427	451319	75922
428	452305	74857
429	453309	73794
430	454302	72730
431	455291	71666
432	456279	70602
433	457369	69553
434	458493	68510
435	459541	67455
